ï»¿finess_et,raison_sociale,voie,adresse_complete,num_tel,num_fax,type_etablissement,date_ouverture,lat,lng,wgs84,COMMUNE,comune
780011748,HOPITAL DE JOUR HENRI MATISSE 78G09,JEAN JAURES,10 AV JEAN JAURES,130096500,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,36880,48.9054939,2.1521499,"48.9054939, 2.1521499",MONTESSON,http://www.wikidata.org/entity/Q83232460
910808419,CMP ENFANCE ET SURDITE 91 I04,LES AVELINES,9 RES LES AVELINES,169869202,169861898,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.6792779,2.16647,"48.6792779, 2.16647",LES ULIS,http://www.wikidata.org/entity/Q216844
910808401,C.A.P.S.P.E 91 I 04,DES BERGERES,R DES BERGERES,169077119,169077119,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.684757,2.16745,"48.684757, 2.16745",LES ULIS,http://www.wikidata.org/entity/Q216844
920014768,CMP DE RUEIL,ALBERT 1ER,34 AV ALBERT 1ER,147520032,147516974,Autres Etablissements de Lutte contre les Maladies Mentales,39140,48.8822765,2.1774292,"48.8822765, 2.1774292",RUEIL MALMAISON,http://www.wikidata.org/entity/Q193920
920014198,CATTP 92G09,DU GENERAL DE GAULLE,14 AV DU GENERAL DE GAULLE,145066659,,Autres Etablissements de Lutte contre les Maladies Mentales,39113,48.8695275,2.2241673,"48.8695275, 2.2241673",SURESNES,http://www.wikidata.org/entity/Q193929
920718277,HOPITAL DE JOUR SURESNES,CHEVREUIL,3B R CHEVREUIL,145061510,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,27403,48.866433,2.2243094,"48.866433, 2.2243094",SURESNES,http://www.wikidata.org/entity/Q193929
920025145,CMP/CATTP 92I05 ENFANTS ET ADOLESCENTS,SAINT-DENIS,41 R SAINT-DENIS,146030424,146036549,Autres Etablissements de Lutte contre les Maladies Mentales,34335,48.8457559,2.2321347,"48.8457559, 2.2321347",BOULOGNE BILLANCOURT,http://www.wikidata.org/entity/Q172455
950006619,CENTRE DE JOUR DU FIEF,DU FIEF,45 R DU FIEF,,,Centres Hospitaliers,38353,48.9505132,2.237513,"48.9505132, 2.237513",ARGENTEUIL,http://www.wikidata.org/entity/Q181946
950000067,APPART THERAP CROIX MARINES ARGENTEUIL,JEAN BORDEREL,31 R JEAN BORDEREL,134232815,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9443382,2.2520856,"48.9443382, 2.2520856",ARGENTEUIL,http://www.wikidata.org/entity/Q181946
920812013,CMP ENFANTS 92I02 J. PREVERT,JACQUES PREVERT,2 PAS JACQUES PREVERT,147823734,147828830,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9220894,2.252624,"48.9220894, 2.252624",COLOMBES,http://www.wikidata.org/entity/Q174002
920300266,CLINIQUE DU PLATEAU,DES CARNETS,5 R DES CARNETS,146302135,146306072,Etablissements de Soins de Courte DurÃ©e,23743,48.7909978,2.2621687,"48.7909978, 2.2621687",CLAMART,http://www.wikidata.org/entity/Q194160
920000676,IHFB - SITE BARBES,BARBES,3 R BARBES,146392222,146392226,Etablissements de Soins de Courte DurÃ©e,28126,48.8901848,2.2811068,"48.8901848, 2.2811068",LEVALLOIS PERRET,http://www.wikidata.org/entity/Q166640
910150069,HOP PRIVE GERIAT LES MAGNOLIAS,DU PERRAY,77 R DU PERRAY,169804646,169013124,Etablissements de Soins de Courte DurÃ©e,27033,48.659196,2.2838546,"48.659196, 2.2838546",BALLAINVILLIERS,http://www.wikidata.org/entity/Q248945
920024676,CMP ADULTES 92G04 C. DESMOULIN,CAMILLE DESMOULIN,7 R CAMILLE DESMOULIN,141340730,,Autres Etablissements de Lutte contre les Maladies Mentales,35796,48.8888994,2.2843171,"48.8888994, 2.2843171",LEVALLOIS PERRET,http://www.wikidata.org/entity/Q166640
920810512,CMP ENFANTS 92I01 C. DESMOULIN,CAMILLE DESMOULINS,7 R CAMILLE DESMOULINS,141340720,141340739,Autres Etablissements de Lutte contre les Maladies Mentales,31413,48.8888994,2.2843171,"48.8888994, 2.2843171",LEVALLOIS PERRET,http://www.wikidata.org/entity/Q166640
750830564,HOPITAL DE JOUR VIALA,VIALA,29 R VIALA,145771051,145771047,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,33534,48.8500712,2.289451,"48.8500712, 2.289451",PARIS,http://www.wikidata.org/entity/Q90
920810686,CMP 92I07 ENFANTS,DE VERDUN,15 AV DE VERDUN,146601650,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7800299,2.2966096,"48.7800299, 2.2966096",SCEAUX,http://www.wikidata.org/entity/Q370498
920810686,CMP 92I07 ENFANTS,DE VERDUN,15 AV DE VERDUN,146601650,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7800299,2.2966096,"48.7800299, 2.2966096",SCEAUX,http://www.wikidata.org/entity/Q1424244
750300139,CLINIQUE DE L'ALMA,DE L'UNIVERSITE,166 R DE L'UNIVERSITE,145565600,145550420,Etablissements de Soins de Courte DurÃ©e,11417,48.8611632,2.3055112,"48.8611632, 2.3055112",PARIS,http://www.wikidata.org/entity/Q90
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q161884
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q864623
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q840612
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q1002005
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q1071860
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q1217899
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q2879099
920810827,CMP BAGNEUX,DES MEUNIERS,64 R DES MEUNIERS,146634550,146638284,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.7977862,2.3152535,"48.7977862, 2.3152535",BAGNEUX,http://www.wikidata.org/entity/Q59555211
920002177,ETABLISSEMENT PUBLIC DE SANTE ERASME,ARMAND GUILLEBAUD,143 AV ARMAND GUILLEBAUD,146743399,146743008,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,29587,48.7450018,2.3157332,"48.7450018, 2.3157332",ANTONY,http://www.wikidata.org/entity/Q205592
750802605,CMP ENFANTS ADULTES LISBONNE,DE LISBONNE,3 R DE LISBONNE,144907685,140080376,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8777165,2.3175378,"48.8777165, 2.3175378",PARIS,http://www.wikidata.org/entity/Q90
750824849,HOPITAL DE JOUR POUCHET,POUCHET,28 R POUCHET,153063757,153063758,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8929775,2.3196396,"48.8929775, 2.3196396",PARIS,http://www.wikidata.org/entity/Q90
750006348,CENTRE VARENNE,VARENNE,39 R VARENNE,142222183,145492976,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8541419,2.3231585,"48.8541419, 2.3231585",PARIS,http://www.wikidata.org/entity/Q90
750170581,UNITE ACCUEIL ET PSYCHOTHERAPIE FAMIL,DE LIEGE,31B R DE LIEGE,143876051,,Autres Etablissements de Lutte contre les Maladies Mentales,39231,48.8794624,2.3260074,"48.8794624, 2.3260074",PARIS,http://www.wikidata.org/entity/Q90
750300493,CLINIQUE ARAGO,ARAGO,95 BD ARAGO,144080400,144080403,Etablissements de Soins de Courte DurÃ©e,5001,48.8344938,2.3347228,"48.8344938, 2.3347228",PARIS,http://www.wikidata.org/entity/Q90
750035289,CONSULT PSYCHO-PATHO ADO ET LA FAMILLE,DU PARVIS NOTRE DAME,1 PL DU PARVIS NOTRE DAME,142348210,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,39085,48.854402,2.348489,"48.854402, 2.348489",PARIS,http://www.wikidata.org/entity/Q90
750170508,CMP CENTRE PSYCHOSOMATIQUE:IPSO,BELLIER-DEDOUVRE,20 R BELLIER-DEDOUVRE,140794970,,Autres Etablissements de Lutte contre les Maladies Mentales,27575,48.824971,2.3506495,"48.824971, 2.3506495",PARIS,http://www.wikidata.org/entity/Q90
950805861,APPARTEMENT THERAPEUTIQUE BATIMENT A,MARIANNE,3 RLE MARIANNE,139834537,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9773019,2.3511398,"48.9773019, 2.3511398",MONTMAGNY,http://www.wikidata.org/entity/Q249754
750100125,HOPITAL LA PITIE SALPETRIERE,DE L'HOPITAL,47 BD DE L'HOPITAL,142160000,142176006,Centres Hospitaliers RÃ©gionaux,1556,48.8386062,2.3608109,"48.8386062, 2.3608109",PARIS,http://www.wikidata.org/entity/Q90
950300087,CLIN. SOINS DE SUITE BELLOY EN FRANCE,DU GENERAL LECLERC,13 R DU GENERAL LECLERC,134091600,134091699,Etablissements de Soins de Suite et de RÃ©adaptation,1556,49.0914352,2.3671005,"49.0914352, 2.3671005",BELLOY EN FRANCE,http://www.wikidata.org/entity/Q1419277
750834756,CATTP ADULTES DENISE GREY,DU BUISSON SAINT-LOUIS,7 R DU BUISSON SAINT-LOUIS,142064378,142000293,Autres Etablissements de Lutte contre les Maladies Mentales,35548,48.8720625,2.3728644,"48.8720625, 2.3728644",PARIS,http://www.wikidata.org/entity/Q90
750827214,CENTRE POPINCOURT,DE L'ASILE POPINCOURT,6 R DE L'ASILE POPINCOURT,142781987,142783244,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8596911,2.3741563,"48.8596911, 2.3741563",PARIS,http://www.wikidata.org/entity/Q90
750826141,HOPITAL DE JOUR ETIENNE MARCEL,D'ANGOULEME,3 CITE D'ANGOULEME,143389107,149230644,Autres Etablissements de Lutte contre les Maladies Mentales,32264,48.8666778,2.3747399,"48.8666778, 2.3747399",PARIS,http://www.wikidata.org/entity/Q90
750802647,CENTRE LA ROQUETTE,DE LA ROQUETTE,63 R DE LA ROQUETTE,147005063,147008905,Autres Etablissements de Lutte contre les Maladies Mentales,28131,48.8558373,2.3752069,"48.8558373, 2.3752069",PARIS,http://www.wikidata.org/entity/Q90
750006819,CENTRE PASTEUR,PASTEUR,13 R PASTEUR,147003602,147003894,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,34335,48.8623164,2.3756075,"48.8623164, 2.3756075",PARIS,http://www.wikidata.org/entity/Q90
930812052,CENTRE MEDICO-PSYCH.A.RIMBAUD,ARTHUR RIMBAUD,1 ALL ARTHUR RIMBAUD,148230882,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9497492,2.3760491,"48.9497492, 2.3760491",STAINS,http://www.wikidata.org/entity/Q258878
950802199,CENTRE MEDICO-PSY. 95I03,PIERRE BROSSOLETTE,104 R PIERRE BROSSOLETTE,134383630,134383636,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9953257,2.379281,"48.9953257, 2.379281",SARCELLES,http://www.wikidata.org/entity/Q107501
750301145,CLINIQUE DU MONT-LOUIS,DE LA FOLIE-REGNAULT,8 R DE LA FOLIE-REGNAULT,143565656,143790186,Etablissements de Soins de Courte DurÃ©e,26394,48.860619,2.3867825,"48.860619, 2.3867825",PARIS,http://www.wikidata.org/entity/Q90
750003162,CATTP ADULTES DARIUS MILHAUD,DARIUS MILHAUD,32 AV DARIUS MILHAUD,142088649,142084208,Autres Etablissements de Lutte contre les Maladies Mentales,32687,48.8842154,2.3885101,"48.8842154, 2.3885101",PARIS,http://www.wikidata.org/entity/Q90
930010467,CENTRE MEDICO-PSY.,DELIZY,R DELIZY,148453149,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8934986,2.4094934,"48.8934986, 2.4094934",PANTIN,http://www.wikidata.org/entity/Q209086
930703921,CMP.C.R.F. BAGNOLET,DU LIEUTENANT THOMAS,4B R DU LIEUTENANT THOMAS,143641080,,Autres Etablissements de Lutte contre les Maladies Mentales,24473,48.8597963,2.4196213,"48.8597963, 2.4196213",BAGNOLET,http://www.wikidata.org/entity/Q208943
930017512,CLINIQUE DU BOURGET,RIGAUD,7 R RIGAUD,143110970,,Etablissements de Soins de Courte DurÃ©e,39085,48.9330587,2.4211634,"48.9330587, 2.4211634",LE BOURGET,http://www.wikidata.org/entity/Q272906
930017512,CLINIQUE DU BOURGET,RIGAUD,7 R RIGAUD,143110970,,Etablissements de Soins de Courte DurÃ©e,39085,48.9330587,2.4211634,"48.9330587, 2.4211634",LE BOURGET,http://www.wikidata.org/entity/Q16653413
930005988,CENTRE MEDICO PSYCHOLOGIQUE,MARECHAL JUIN,16 AV MARECHAL JUIN,,,Autres Etablissements de Lutte contre les Maladies Mentales,37622,48.8801409,2.4218249,"48.8801409, 2.4218249",LES LILAS,http://www.wikidata.org/entity/Q256004
940810872,C.M.P. M.ALFORT H CHEN MONDOR,GAMBETTA,72 AV GAMBETTA,143769388,143762001,Autres Etablissements de Lutte contre les Maladies Mentales,27030,48.8098914,2.4439248,"48.8098914, 2.4439248",MAISONS ALFORT,http://www.wikidata.org/entity/Q208314
930815584,UNITE ACCUEIL ACTIVITE THERAPEU,EUGENE VARLIN,4 R EUGENE VARLIN,,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8596169,2.4469399,"48.8596169, 2.4469399",MONTREUIL,http://www.wikidata.org/entity/Q193370
930815584,UNITE ACCUEIL ACTIVITE THERAPEU,EUGENE VARLIN,4 R EUGENE VARLIN,,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8596169,2.4469399,"48.8596169, 2.4469399",MONTREUIL,http://www.wikidata.org/entity/Q213344
930815584,UNITE ACCUEIL ACTIVITE THERAPEU,EUGENE VARLIN,4 R EUGENE VARLIN,,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8596169,2.4469399,"48.8596169, 2.4469399",MONTREUIL,http://www.wikidata.org/entity/Q1139997
930815584,UNITE ACCUEIL ACTIVITE THERAPEU,EUGENE VARLIN,4 R EUGENE VARLIN,,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8596169,2.4469399,"48.8596169, 2.4469399",MONTREUIL,http://www.wikidata.org/entity/Q1412936
930701867,CENTRE MEDICO-PSYCH.CHALONS,DE CHALONS,3 R DE CHALONS,148441573,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.889974,2.4502988,"48.889974, 2.4502988",NOISY LE SEC,http://www.wikidata.org/entity/Q370224
930800891,CENTRE MEDICO-PSYCHOLOGIQUE,LOUIS LEMESLE,26 R LOUIS LEMESLE,148653566,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9357884,2.4654882,"48.9357884, 2.4654882",LE BLANC MESNIL,http://www.wikidata.org/entity/Q208313
940804446,C.M.P.ADULTES/ENFANTS JOINVILLE,JOYEUSE,18 AV JOYEUSE,148896300,148896395,Autres Etablissements de Lutte contre les Maladies Mentales,26299,48.818783,2.4764719,"48.818783, 2.4764719",JOINVILLE LE PONT,http://www.wikidata.org/entity/Q609134
910812577,UNITE CLINIQUE JACQUES LACAN,ROSSINI,10 R ROSSINI,,,Centres Hospitaliers,1556,48.704174,2.4813014,"48.704174, 2.4813014",YERRES,http://www.wikidata.org/entity/Q319933
910007749,CMP LECLERC,DU GENERAL LECLERC,87 AV DU GENERAL LECLERC,169498020,,Autres Etablissements de Lutte contre les Maladies Mentales,38353,48.6863547,2.492543,"48.6863547, 2.492543",BRUNOY,http://www.wikidata.org/entity/Q212541
910808179,C.M.P. DU VAL D'YERRES/ SECTEUR 91 G11,DE LA GRANGE,1 R DE LA GRANGE,169498069,169838769,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.715242,2.4931809,"48.715242, 2.4931809",YERRES,http://www.wikidata.org/entity/Q319933
940300577,CLINIQUE KORIAN JONCS MARINS,JOULEAU,6 R JOULEAU,148712312,148710634,Etablissements de Soins de Suite et de RÃ©adaptation,26043,48.8528889,2.5077614,"48.8528889, 2.5077614",LE PERREUX SUR MARNE,http://www.wikidata.org/entity/Q990408
950805820,CTRE MEDICO-PSYCHOLOGIQUE 95I03,FERNAND PICQUETTE,4 R FERNAND PICQUETTE,134311361,134313148,Autres Etablissements de Lutte contre les Maladies Mentales,1556,49.0985015,2.5169692,"49.0985015, 2.5169692",FOSSES,http://www.wikidata.org/entity/Q243260
940300452,CLINIQUE MEDICALE DE DIETETIQUE,RICHERAND,8 BD RICHERAND,145955757,145697584,Etablissements de Soins de Courte DurÃ©e,12785,48.7220222,2.5316559,"48.7220222, 2.5316559",VILLECRESNES,http://www.wikidata.org/entity/Q751658
930801121,CENTRE MEDICO-PSYCHOLOGIQUE,YAN PALLACH,4 ALL YAN PALLACH,143834600,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.93897,2.538716,"48.93897, 2.538716",SEVRAN,http://www.wikidata.org/entity/Q387630
940008998,CMP INFANTO FRIEDBERG,FRIEDBERG,2 BD FRIEDBERG,145937171,145762003,Autres Etablissements de Lutte contre les Maladies Mentales,26668,48.829992,2.539108,"48.829992, 2.539108",VILLIERS SUR MARNE,http://www.wikidata.org/entity/Q258636
940008998,CMP INFANTO FRIEDBERG,FRIEDBERG,2 BD FRIEDBERG,145937171,145762003,Autres Etablissements de Lutte contre les Maladies Mentales,26668,48.829992,2.539108,"48.829992, 2.539108",VILLIERS SUR MARNE,http://www.wikidata.org/entity/Q79600121
930801154,CENTRE MEDICO-PSYCHOLOGIQUE,EUGENIE COTTON,1 R EUGENIE COTTON,143832811,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9566359,2.5468476,"48.9566359, 2.5468476",VILLEPINTE,http://www.wikidata.org/entity/Q241064
930801154,CENTRE MEDICO-PSYCHOLOGIQUE,EUGENIE COTTON,1 R EUGENIE COTTON,143832811,,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9566359,2.5468476,"48.9566359, 2.5468476",VILLEPINTE,http://www.wikidata.org/entity/Q843208
930000286,GHI LE RAINCY-MONTFERMEIL,DU GENERAL LECLERC,10 R DU GENERAL LECLERC,141708000,141708274,Centres Hospitaliers,12878,48.8988492,2.5736605,"48.8988492, 2.5736605",MONTFERMEIL,http://www.wikidata.org/entity/Q237367
770811396,CENTRE MEDICO-PSY.,JEAN JAURES,77 AV JEAN JAURES,164419673,160637015,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.5967241,2.5782723,"48.5967241, 2.5782723",SAVIGNY LE TEMPLE,http://www.wikidata.org/entity/Q328010
770003507,CTRE MEDICO-PSYCHOLOGIQUE 77G8-9,DE DANTZIG,66 AV DE DANTZIG,160294888,164439981,Autres Etablissements de Lutte contre les Maladies Mentales,35431,48.8084024,2.6108902,"48.8084024, 2.6108902",PONTAULT COMBAULT,http://www.wikidata.org/entity/Q717049
770001261,HOPITAL DE JOUR DU C.H DE LAGNY,DE L'AVENIR,3 AV DE L'AVENIR,160181530,160181536,Centres Hospitaliers,32486,48.8034516,2.6121832,"48.8034516, 2.6121832",PONTAULT COMBAULT,http://www.wikidata.org/entity/Q717049
770005429,CENTRE MEDICO PSYCHOLOGIQUE,DES COLLIBERTS,26 PL DES COLLIBERTS,160951960,160951962,Autres Etablissements de Lutte contre les Maladies Mentales,39086,48.836571,2.6327379,"48.836571, 2.6327379",LOGNES,http://www.wikidata.org/entity/Q268281
770014611,WINNICOTT UNITE PSYCHITRIAQUE 77G16,PIERRE MENDES FRANCE,3B R PIERRE MENDES FRANCE,160059620,160059622,Autres Etablissements de Lutte contre les Maladies Mentales,35877,48.8408014,2.6526952,"48.8408014, 2.6526952",TORCY,http://www.wikidata.org/entity/Q12423
770014611,WINNICOTT UNITE PSYCHITRIAQUE 77G16,PIERRE MENDES FRANCE,3B R PIERRE MENDES FRANCE,160059620,160059622,Autres Etablissements de Lutte contre les Maladies Mentales,35877,48.8408014,2.6526952,"48.8408014, 2.6526952",TORCY,http://www.wikidata.org/entity/Q350782
770014611,WINNICOTT UNITE PSYCHITRIAQUE 77G16,PIERRE MENDES FRANCE,3B R PIERRE MENDES FRANCE,160059620,160059622,Autres Etablissements de Lutte contre les Maladies Mentales,35877,48.8408014,2.6526952,"48.8408014, 2.6526952",TORCY,http://www.wikidata.org/entity/Q10700068
770014611,WINNICOTT UNITE PSYCHITRIAQUE 77G16,PIERRE MENDES FRANCE,3B R PIERRE MENDES FRANCE,160059620,160059622,Autres Etablissements de Lutte contre les Maladies Mentales,35877,48.8408014,2.6526952,"48.8408014, 2.6526952",TORCY,http://www.wikidata.org/entity/Q1625698
770300275,POLYCLINIQUE DE LA FORET,LAGORSSE,4 R LAGORSSE,164697778,164225400,Etablissements de Soins de Courte DurÃ©e,26304,48.4111732,2.6988962,"48.4111732, 2.6988962",FONTAINEBLEAU,http://www.wikidata.org/entity/Q182872
770809085,CENTRE MEDICO-PSY. 77 G 09-10,DES MOULINS,4 R DES MOULINS,164657325,164657336,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.8141281,3.0828808,"48.8141281, 3.0828808",COULOMMIERS,http://www.wikidata.org/entity/Q251731
780809307,CENTRE MEDICO-PSY.78G01,MOZART,8 R MOZART,130630404,130335091,Autres Etablissements de Lutte contre les Maladies Mentales,1556,48.9981787,1.6793431,"48.9981787, 1.6793431",MANTES LA JOLIE,http://www.wikidata.org/entity/Q207253
780300125,POLYCLINIQUE REGION MANTAISE,VICTOR DUHAMEL,23 BD VICTOR DUHAMEL,130981600,130984738,Etablissements de Soins de Courte DurÃ©e,12785,48.9848695,1.7168418,"48.9848695, 1.7168418",MANTES LA JOLIE,http://www.wikidata.org/entity/Q207253
950805911,CATTP PETITE ENFANCE,MONDETOUR,6 AV MONDETOUR,130739998,130739998,Autres Etablissements de Lutte contre les Maladies Mentales,1556,49.0467903,2.0350328,"49.0467903, 2.0350328",CERGY,http://www.wikidata.org/entity/Q193903
780011938,HOPITAL DE JOUR LA SOURIS VERTE,GAMBETTA,23 BD GAMBETTA,139194236,,Centres Hospitaliers,37403,48.9324348,2.0443124,"48.9324348, 2.0443124",POISSY,http://www.wikidata.org/entity/Q457
950310029,CENTRE DE PSYCHOTHERAPIE D'OSNY-STORS,XAVIER BICHAT,3 R XAVIER BICHAT,134692323,134695353,Autres Etablissements de Lutte contre les Maladies Mentales,22732,49.0749455,2.0756098,"49.0749455, 2.0756098",OSNY,http://www.wikidata.org/entity/Q273133
780825220,HOPITAL DE JOUR SECT 78G07,DE MONTVAL,14 R DE MONTVAL,139162486,,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,1556,48.8730588,2.0925254,"48.8730588, 2.0925254",MARLY LE ROI,http://www.wikidata.org/entity/Q656505
780300406,CENTRE MEDICO CHIRURGICAL DE PARLY II,MOXOURIS,21 R MOXOURIS,139637000,139556393,Etablissements de Soins de Courte DurÃ©e,25934,48.830203,2.1198163,"48.830203, 2.1198163",LE CHESNAY,http://www.wikidata.org/entity/Q237281
780000410,CENTRE HOSPITALIER TH. ROUSSEL,PHILIPPE MITHOUARD,1 R PHILIPPE MITHOUARD,130863838,139133737,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,367,48.9233878,2.1327266,"48.9233878, 2.1327266",MONTESSON,http://www.wikidata.org/entity/Q830293
780000410,CENTRE HOSPITALIER TH. ROUSSEL,PHILIPPE MITHOUARD,1 R PHILIPPE MITHOUARD,130863838,139133737,Centres Hospitaliers SpÃ©cialisÃ©s Lutte Maladies Mentales,367,48.9233878,2.1327266,"48.9233878, 2.1327266",MONTESSON,http://www.wikidata.org/entity/Q83232460
