CODE_UIC,LIBELLE,FRET,VOYAGEURS,CODE_LIGNE,RG_TRONCON,PK,COMMUNE,DEPARTEMEN,IDRESEAU,IDGAIA,X_L93,Y_L93,X_WGS84,Y_WGS84,C_GEO,Geo Point,Geo Shape,comune,comuneLabel,cordinate,comuneLabel_capital,CODE_UIC.1,CODE_UIC_trimmed,sa_stop_id,sa_stop_name,sa_stop_desc,sa_stop_lat,sa_stop_lon,sa_zone_id,sa_stop_url,sa_location_type,sa_parent_station,sa_CODE_UIC,wiki_station_name,wiki_coordinates
87672774,Bedous,N,O,664000,1,275+200,BEDOUS,PYRENEES-ATLANTIQUES,3153,d9ea9558-6667-11e3-89ff-01f464e0362d,405949.8035,6217422.199,-0.603932913,42.99574558,"42.9957455783, -0.603932912946","42.9957455783, -0.603932912946","{""type"": ""Point"", ""coordinates"": [-0.60393291294554, 42.99574557827259]}",http://www.wikidata.org/entity/Q188595,Bedous,Point(-0.600277777 43.0,BEDOUS,87672774,87672774,StopArea:OCE87672774,Gare de Bedous,,43.00055119,-0.60112072,,,1,,87672774,,
87313221,Ailly-sur-Noye,O,O,272000,1,111+073,AILLY-SUR-NOYE,SOMME,2819,d98e691e-6667-11e3-89ff-01f464e0362d,654160.9275,6961952.142,2.364295001,49.7548654,"49.7548653996, 2.3642950005","49.7548653996, 2.3642950005","{""type"": ""Point"", ""coordinates"": [2.364295000500493, 49.75486539961087]}",http://www.wikidata.org/entity/Q30759,Ailly-sur-Noye,Point(2.363333333 49.756388888,AILLY-SUR-NOYE,87313221,87313221,StopArea:OCE87313221,Gare de Ailly-sur-Noye,,49.7544015,2.36417098,,,1,,87313221,,
87746776,Les PÃ©lerins,N,O,896000,1,016+603,CHAMONIX-MONT-BLANC,HAUTE-SAVOIE,5105,e1a43176-19bf-11e5-a6ff-01fc64e0362d,998110.245,6542017.695,6.847309607,45.91247166,"45.9124716622, 6.84730960665","45.9124716622, 6.84730960665","{""type"": ""Point"", ""coordinates"": [6.847309606646861, 45.912471662183634]}",http://www.wikidata.org/entity/Q83236,Chamonix-Mont-Blanc,Point(6.868888888 45.922222222,CHAMONIX-MONT-BLANC,87746776,87746776,StopArea:OCE87746776,Gare de Les Pèlerins,,45.91276325,6.84774262,,,1,,87746776,,
87286781,Cysoing,N,O,268000,1,256+488,CYSOING,NORD,3910,e041c08a-19bf-11e5-82ff-01fc64e0362d,714889.3975,7051680.611,3.209799283,50.56212001,"50.5621200127, 3.20979928311","50.5621200127, 3.20979928311","{""type"": ""Point"", ""coordinates"": [3.209799283111921, 50.56212001273401]}",http://www.wikidata.org/entity/Q428594,Cysoing,Point(3.215 50.568333333,CYSOING,87286781,87286781,,,,,,,,,,,,
87741611,GrÃ©sy-sur-IsÃ¨re,N,O,899000,1,009+611,GRÃ‰SY-SUR-ISÃˆRE,SAVOIE,4368,d9e4bd80-6667-11e3-89ff-01f464e0362d,954085.4484,6504685.743,6.259966502,45.59447575,"45.594475746, 6.25996650181","45.594475746, 6.25996650181","{""type"": ""Point"", ""coordinates"": [6.259966501812202, 45.59447574602466]}",,,,,87741611,87741611,StopArea:OCE87741611,Gare de Grésy-sur-Isère,,45.59443865,6.25886085,,,1,,87741611,,
87113407,Bondy,N,O,958000,1,000+000,BONDY,SEINE-SAINT-DENIS,3283,c12d2d78-f312-11e3-90ff-015864e0362d,661778.9894,6866114.229,2.478714467,48.89390121,"48.8939012077, 2.4787144665","48.8939012077, 2.4787144665","{""type"": ""Point"", ""coordinates"": [2.478714466495548, 48.89390120766841]}",http://www.wikidata.org/entity/Q237394,Bondy,Point(2.483611111 48.902777777,BONDY,87113407,87113407,,,,,,,,,,,,
87645002,Aurillac,O,O,720000,1,302+667,AURILLAC,CANTAL,3004,e13ddf92-19bf-11e5-a6ff-01fc64e0362d,655511.0326,6424835.006,2.436202111,44.92128287,"44.9212828727, 2.43620211145","44.9212828727, 2.43620211145","{""type"": ""Point"", ""coordinates"": [2.436202111452766, 44.92128287267648]}",http://www.wikidata.org/entity/Q174234,Aurillac,Point(2.439722222 44.925277777,AURILLAC,87645002,87645002,StopArea:OCE87645002,Gare de Aurillac,,44.92098624,2.4355466,,,1,,87645002,,
87113746,Nogent-Le Perreux,O,O,1000,1,016+238,NOGENT-SUR-MARNE,VAL-DE-MARNE,5806,298d3048-dfbc-11e3-a2ff-01a464e0362d,662868.2568,6859958.594,2.494108133,48.83860767,"48.8386076684, 2.49410813306","48.8386076684, 2.49410813306","{""type"": ""Point"", ""coordinates"": [2.494108133058531, 48.838607668420025]}",http://www.wikidata.org/entity/Q212274,Nogent-sur-Marne,Point(2.4825 48.836666666,NOGENT-SUR-MARNE,87113746,87113746,,,,,,,,,,,,
87213686,Hoerdt,N,O,146000,1,007+193,HOERDT,BAS-RHIN,4455,d985c1a6-6667-11e3-89ff-01f464e0362d,1051527.874,6855415.367,7.77976852,48.70309761,"48.7030976098, 7.77976852013","48.7030976098, 7.77976852013","{""type"": ""Point"", ""coordinates"": [7.779768520134401, 48.70309760980166]}",,,,,87213686,87213686,StopArea:OCE87213686,Gare de Hoerdt,,48.70298142,7.77906814,,,1,,87213686,,
87765503,Cavaillon,O,O,925000,1,032+888,CAVAILLON,VAUCLUSE,9450,e15a5994-19bf-11e5-a6ff-01fc64e0362d,864400.6826,6306080.166,5.044022156,43.83458136,"43.8345813628, 5.04402215575","43.8345813628, 5.04402215575","{""type"": ""Point"", ""coordinates"": [5.044022155749949, 43.83458136277467]}",http://www.wikidata.org/entity/Q208798,Cavaillon,Point(5.037222222 43.836666666,CAVAILLON,87765503,87765503,StopArea:OCE87765503,Gare de Cavaillon,,43.83451557,5.04365349,,,1,,87765503,http://www.wikidata.org/entity/Q3096148,Point(5.04365 43.8347
87597344,St-Maur-sur-Indre,O,N,594000,1,348+029,SAINT-MAUR,INDRE,6587,e140df68-19bf-11e5-a6ff-01fc64e0362d,595303.2857,6634527.655,1.627111447,46.8026993,"46.8026993036, 1.62711144665","46.8026993035, 1.62711144665","{""type"": ""Point"", ""coordinates"": [1.627111446648887, 46.80269930354229]}",http://www.wikidata.org/entity/Q614571,Saint-Maur,Point(5.59 46.615277777,SAINT-MAUR,87597344,87597344,,,,,,,,,,,,
87597344,St-Maur-sur-Indre,O,N,594000,1,348+029,SAINT-MAUR,INDRE,6587,e140df68-19bf-11e5-a6ff-01fc64e0362d,595303.2857,6634527.655,1.627111447,46.8026993,"46.8026993036, 1.62711144665","46.8026993035, 1.62711144665","{""type"": ""Point"", ""coordinates"": [1.627111446648887, 46.80269930354229]}",http://www.wikidata.org/entity/Q746373,Saint-Maur,Point(0.343055555 43.477777777,SAINT-MAUR,87597344,87597344,,,,,,,,,,,,
87597344,St-Maur-sur-Indre,O,N,594000,1,348+029,SAINT-MAUR,INDRE,6587,e140df68-19bf-11e5-a6ff-01fc64e0362d,595303.2857,6634527.655,1.627111447,46.8026993,"46.8026993036, 1.62711144665","46.8026993035, 1.62711144665","{""type"": ""Point"", ""coordinates"": [1.627111446648887, 46.80269930354229]}",http://www.wikidata.org/entity/Q829369,Saint-Maur,Point(2.298611111 46.58,SAINT-MAUR,87597344,87597344,,,,,,,,,,,,
87597344,St-Maur-sur-Indre,O,N,594000,1,348+029,SAINT-MAUR,INDRE,6587,e140df68-19bf-11e5-a6ff-01fc64e0362d,595303.2857,6634527.655,1.627111447,46.8026993,"46.8026993036, 1.62711144665","46.8026993035, 1.62711144665","{""type"": ""Point"", ""coordinates"": [1.627111446648887, 46.80269930354229]}",http://www.wikidata.org/entity/Q1166702,Saint-Maur,Point(1.917777777 49.615833333,SAINT-MAUR,87597344,87597344,,,,,,,,,,,,
87597344,St-Maur-sur-Indre,O,N,594000,1,348+029,SAINT-MAUR,INDRE,6587,e140df68-19bf-11e5-a6ff-01fc64e0362d,595303.2857,6634527.655,1.627111447,46.8026993,"46.8026993036, 1.62711144665","46.8026993035, 1.62711144665","{""type"": ""Point"", ""coordinates"": [1.627111446648887, 46.80269930354229]}",http://www.wikidata.org/entity/Q1136748,Saint-Maur,Point(1.639444444 46.806388888,SAINT-MAUR,87597344,87597344,,,,,,,,,,,,
87597344,St-Maur-sur-Indre,O,N,594000,1,348+029,SAINT-MAUR,INDRE,6587,e140df68-19bf-11e5-a6ff-01fc64e0362d,595303.2857,6634527.655,1.627111447,46.8026993,"46.8026993036, 1.62711144665","46.8026993035, 1.62711144665","{""type"": ""Point"", ""coordinates"": [1.627111446648887, 46.80269930354229]}",http://www.wikidata.org/entity/Q28484570,Saint-Maur,Point(1.639444444 46.806388888,SAINT-MAUR,87597344,87597344,,,,,,,,,,,,
87393637,Chilly-Mazarin,N,O,990000,4,100+124,CHILLY-MAZARIN,ESSONNE,3708,d94ec35c-6667-11e3-89ff-01f464e0362d,649047.1221,6844751.067,2.307630683,48.70089337,"48.7008933665, 2.30763068294","48.7008933665, 2.30763068294","{""type"": ""Point"", ""coordinates"": [2.307630682937759, 48.70089336646917]}",http://www.wikidata.org/entity/Q247241,Chilly-Mazarin,Point(2.316111111 48.705277777,CHILLY-MAZARIN,87393637,87393637,,,,,,,,,,,,
87783670,Belvezet,N,O,723000,1,674+319,BELVEZET,LOZERE,3176,d9db5dc8-6667-11e3-89ff-01f464e0362d,759704.5145,6385026.172,3.751807473,44.56175525,"44.5617552451, 3.75180747334","44.5617552451, 3.75180747334","{""type"": ""Point"", ""coordinates"": [3.751807473339702, 44.56175524508434]}",http://www.wikidata.org/entity/Q718534,Belvezet,Point(3.745277777 44.563611111,BELVEZET,87783670,87783670,StopArea:OCE87783670,Gare de Belvezet,,44.56186124,3.75188094,,,1,,87783670,,
87286005,Lille-Flandres,O,O,272000,1,250+928,LILLE,NORD,5172,d9b28250-6667-11e3-89ff-01f464e0362d,705123.7796,7059890.845,3.072302774,50.63596108,"50.635961077, 3.07230277419","50.635961077, 3.07230277419","{""type"": ""Point"", ""coordinates"": [3.072302774192281, 50.635961076979704]}",http://www.wikidata.org/entity/Q648,Lille,Point(3.0575 50.631944444,LILLE,87286005,87286005,StopArea:OCE87286005,Gare de Lille Flandres,,50.63620117,3.07102315,,,1,,87286005,,
87171611,Val-de-Vesle,N,O,81000,1,205+588,VAL-DE-VESLE,MARNE,7078,29e17d30-dfbc-11e3-a2ff-01a464e0362d,789117.0361,6898283.854,4.222153558,49.1780939,"49.1780939017, 4.22215355757","49.1780939017, 4.22215355757","{""type"": ""Point"", ""coordinates"": [4.222153557570627, 49.17809390169851]}",http://www.wikidata.org/entity/Q1597204,Val-de-Vesle,Point(4.222222222 49.175,VAL-DE-VESLE,87171611,87171611,StopArea:OCE87171611,Gare de Val-de-Vesle-Marne,,49.17840536,4.22167411,,,1,,87171611,,
87276535,Valmondois,N,O,328000,1,029+338,BUTRY-SUR-OISE,VAL-D'OISE,7093,d9980d28-6667-11e3-89ff-01f464e0362d,641635.6498,6888011.645,2.20097866,49.08928376,"49.0892837632, 2.2009786602","49.0892837632, 2.2009786602","{""type"": ""Point"", ""coordinates"": [2.200978660197805, 49.08928376322022]}",http://www.wikidata.org/entity/Q243302,Butry-sur-Oise,Point(2.198333333 49.086111111,BUTRY-SUR-OISE,87276535,87276535,,,,,,,,,,,,
87581009,Bordeaux-St-Jean,O,O,640000,1,000+000,BORDEAUX,GIRONDE,3298,e001860e-19bf-11e5-82ff-01fc64e0362d,419015.4944,6420412.621,-0.555977516,44.8259231,"44.825923102, -0.555977516188","44.825923102, -0.555977516188","{""type"": ""Point"", ""coordinates"": [-0.555977516187793, 44.82592310197657]}",http://www.wikidata.org/entity/Q1479,Bordeaux,Point(-0.579444444 44.837777777,BORDEAUX,87581009,87581009,StopArea:OCE87581009,Gare de Bordeaux-St-Jean,,44.82653979,-0.55619406,,,1,,87581009,,
87574434,VÃ©retz-Montlouis,N,O,593000,1,300+146,MONTLOUIS-SUR-LOIRE,INDRE-ET-LOIRE,7147,c036c440-f312-11e3-90ff-015864e0362d,535506.2035,6699061.818,0.81995699,47.37145594,"47.3714559423, 0.819956989593","47.3714559422, 0.819956989593","{""type"": ""Point"", ""coordinates"": [0.81995698959301, 47.37145594222695]}",http://www.wikidata.org/entity/Q638668,Montlouis-sur-Loire,Point(0.827222222 47.388333333,MONTLOUIS-SUR-LOIRE,87574434,87574434,StopArea:OCE87574434,Gare de Veretz-Montlouis,,47.3713316,0.81978399,,,1,,87574434,,
87761320,Manthes-Lapeyrouse,O,N,907000,1,014+160,MANTHES,DROME,5344,d971619e-6667-11e3-89ff-01f464e0362d,855638.9527,6470062.123,4.986410795,45.31231044,"45.3123104426, 4.98641079531","45.3123104426, 4.98641079531","{""type"": ""Point"", ""coordinates"": [4.98641079530983, 45.31231044255919]}",http://www.wikidata.org/entity/Q1009350,Manthes,Point(5.007222222 45.302777777,MANTHES,87761320,87761320,,,,,,,,,,,,
87393009,Versailles-Chantiers,N,O,990000,4,120+754,VERSAILLES,YVELINES,7169,29746160-dfbc-11e3-a2ff-01a464e0362d,636609.7865,6855382.118,2.137060348,48.79540355,"48.7954035508, 2.13706034831","48.7954035508, 2.13706034831","{""type"": ""Point"", ""coordinates"": [2.137060348306638, 48.79540355078285]}",http://www.wikidata.org/entity/Q621,Versailles,Point(2.134166666 48.804722222,VERSAILLES,87393009,87393009,StopArea:OCE87393009,Gare de Versailles-Chantiers,,48.79556635,2.13546496,,,1,,87393009,http://www.wikidata.org/entity/Q2422473,Point(2.136111111 48.795833333
87784769,FontpÃ©drouse-St-Thomas-les-Bains,N,O,669000,1,019+704,FONTPÃ‰DROUSE,PYRENEES-ORIENTALES,4197,d9805c12-6667-11e3-89ff-01f464e0362d,633225.5654,6157442.038,2.188619483,42.51369875,"42.5136987478, 2.18861948335","42.5136987478, 2.18861948335","{""type"": ""Point"", ""coordinates"": [2.188619483352487, 42.5136987477588]}",,,,,87784769,87784769,StopArea:OCE87784769,Gare de Fontpédrouse-St-Thomas,,42.51387124,2.19010598,,,1,,87784769,,
87296434,Mennessis,N,O,242000,1,135+390,MENNESSIS,AISNE,5446,d98520ba-6667-11e3-89ff-01f464e0362d,719516.3003,6954798.117,3.270320909,49.69194346,"49.6919434603, 3.27032090938","49.6919434603, 3.27032090938","{""type"": ""Point"", ""coordinates"": [3.270320909384111, 49.69194346030864]}",http://www.wikidata.org/entity/Q872458,Mennessis,Point(3.272777777 49.693888888,MENNESSIS,87296434,87296434,StopArea:OCE87296434,Gare de Mennessis,,49.69103724,3.27192166,,,1,,87296434,http://www.wikidata.org/entity/Q2193491,Point(3.270556 49.692222
87543082,Boisseaux,N,O,570000,1,080+940,BOISSEAUX,LOIRET,3272,d9ab8374-6667-11e3-89ff-01f464e0362d,623747.6348,6795492.418,1.972591773,48.25530707,"48.2553070694, 1.97259177318","48.2553070694, 1.97259177318","{""type"": ""Point"", ""coordinates"": [1.972591773181167, 48.25530706940349]}",http://www.wikidata.org/entity/Q1167478,Boisseaux,Point(1.987777777 48.256666666,BOISSEAUX,87543082,87543082,StopArea:OCE87543082,Gare de Boisseaux,,48.25646871,1.97294875,,,1,,87543082,http://www.wikidata.org/entity/Q2386157,Point(1.972924 48.256593
87345108,BrebiÃ¨res-Sud,N,O,272000,1,209+970,BREBIÃˆRES,PAS-DE-CALAIS,3368,e19cc5fe-19bf-11e5-a6ff-01fc64e0362d,700977.7031,7026504.374,3.013714758,50.3362984,"50.3362983999, 3.0137147578","50.3362983999, 3.0137147578","{""type"": ""Point"", ""coordinates"": [3.01371475780044, 50.33629839986981]}",,,,,87345108,87345108,StopArea:OCE87345108,Gare de Brebières Sud,,50.33622307,3.01389997,,,1,,87345108,,
87381236,Trie-ChÃ¢teau,N,O,330000,2,065+654,TRIE-CHÃ‚TEAU,OISE,7037,29bbdcaa-dfbc-11e3-a2ff-01a464e0362d,613995.2314,6909868.736,1.81814393,49.2826556,"49.2826556015, 1.81814392998","49.2826556015, 1.81814392998","{""type"": ""Point"", ""coordinates"": [1.818143929978402, 49.282655601511394]}",,,,,87381236,87381236,,,,,,,,,,,,
87592055,St-Priest-Taurion,N,O,713000,1,397+948,SAINT-PRIEST-TAURION,HAUTE-VIENNE,6651,c12be5a2-f312-11e3-90ff-015864e0362d,575977.9366,6533205.893,1.40066982,45.88722234,"45.8872223359, 1.40066981985","45.8872223359, 1.40066981985","{""type"": ""Point"", ""coordinates"": [1.400669819851662, 45.88722233587767]}",http://www.wikidata.org/entity/Q1075121,Saint-Priest-Taurion,Point(1.4 45.886666666,SAINT-PRIEST-TAURION,87592055,87592055,StopArea:OCE87592055,Gare de St-Priest-Taurion,,45.88715121,1.40046672,,,1,,87592055,,
87141341,Coussey,O,N,26000,1,055+146,COUSSEY,VOSGES,3860,e541475e-6667-11e3-a7ff-01f464e0362d,898882.1002,6814610.912,5.687579797,48.40132672,"48.4013267222, 5.68757979666","48.4013267222, 5.68757979666","{""type"": ""Point"", ""coordinates"": [5.687579796656099, 48.40132672220382]}",http://www.wikidata.org/entity/Q1096338,Coussey,Point(5.6825 48.408333333,COUSSEY,87141341,87141341,,,,,,,,,,,,
87212159,Schwindratzheim,N,O,70000,1,476+648,SCHWINDRATZHEIM,BAS-RHIN,6798,29954682-dfbc-11e3-a2ff-01a464e0362d,1038044.999,6860236.702,7.60067795,48.75358419,"48.7535841945, 7.60067795015","48.7535841945, 7.60067795015","{""type"": ""Point"", ""coordinates"": [7.600677950147093, 48.75358419448911]}",http://www.wikidata.org/entity/Q21295,Schwindratzheim,Point(7.601666666 48.756944444,SCHWINDRATZHEIM,87212159,87212159,StopArea:OCE87212159,Gare de Schwindratzheim,,48.75363801,7.60062383,,,1,,87212159,,
87447110,Coutances,O,O,415000,1,047+984,COUTANCES,MANCHE,3861,29750b6e-dfbc-11e3-a2ff-01a464e0362d,375445.1234,6891662.563,-1.44150676,49.04267184,"49.0426718382, -1.44150675983","49.0426718381, -1.44150675983","{""type"": ""Point"", ""coordinates"": [-1.441506759827914, 49.042671838135256]}",http://www.wikidata.org/entity/Q202565,Coutances,Point(-1.445277777 49.045277777,COUTANCES,87447110,87447110,StopArea:OCE87447110,Gare de Coutances,,49.04279661,-1.44126699,,,1,,87447110,,
87673707,OssÃ¨s-St-Martin-d'Arrossa,N,O,660000,1,238+428,SAINT-MARTIN-D'ARROSSA,PYRENEES-ATLANTIQUES,5881,29914070-dfbc-11e3-a2ff-01a464e0362d,350255.5001,6246882.184,-1.304959311,43.23531217,"43.2353121734, -1.30495931135","43.2353121734, -1.30495931135","{""type"": ""Point"", ""coordinates"": [-1.304959311352247, 43.23531217338274]}",http://www.wikidata.org/entity/Q843415,Saint-Martin-d'Arrossa,Point(-1.313333333 43.238055555,SAINT-MARTIN-D'ARROSSA,87673707,87673707,StopArea:OCE87673707,Gare de Ossès-St-Mart-d'Arrossa,,43.23514969,-1.30498963,,,1,,87673707,,
87171462,Bazancourt,O,O,207000,1,000+000,ISLES-SUR-SUIPPE,MARNE,3119,2978b4b6-dfbc-11e3-a2ff-01a464e0362d,786794.4916,6918674.38,4.194537014,49.36169489,"49.3616948859, 4.19453701355","49.3616948859, 4.19453701355","{""type"": ""Point"", ""coordinates"": [4.194537013547738, 49.36169488592248]}",http://www.wikidata.org/entity/Q1222206,Isles-sur-Suippe,Point(4.200833333 49.356666666,ISLES-SUR-SUIPPE,87171462,87171462,StopArea:OCE87171462,Gare de Bazancourt,,49.36099945,4.17395159,,,1,,87171462,http://www.wikidata.org/entity/Q3095927,Point(4.174139 49.361061
87317396,Noyelles-sur-Mer,O,O,324000,1,189+006,NOYELLES-SUR-MER,SOMME,5832,29e2caa4-dfbc-11e3-a2ff-01a464e0362d,607392.8749,7010855.2,1.704668537,50.18896515,"50.188965148, 1.70466853717","50.188965148, 1.70466853717","{""type"": ""Point"", ""coordinates"": [1.704668537173917, 50.188965147963344]}",http://www.wikidata.org/entity/Q489451,Noyelles-sur-Mer,Point(1.708888888 50.183611111,NOYELLES-SUR-MER,87317396,87317396,StopArea:OCE87317396,Gare de Noyelles-sur-Mer,,50.187334,1.70447422,,,1,,87317396,,
87696898,Entrains,O,N,753000,1,252+022,ENTRAINS-SUR-NOHAIN,NIEVRE,4046,c0f059c2-f312-11e3-90ff-015864e0362d,719674.8311,6707178.429,3.261172545,47.46467046,"47.4646704602, 3.2611725445","47.4646704602, 3.2611725445","{""type"": ""Point"", ""coordinates"": [3.261172544500062, 47.46467046020893]}",http://www.wikidata.org/entity/Q1113070,Entrains-sur-Nohain,Point(3.256111111 47.464166666,ENTRAINS-SUR-NOHAIN,87696898,87696898,,,,,,,,,,,,
87471508,VitrÃ©,O,O,420000,1,335+886,VITRE,ILLE-ET-VILAINE,7306,d9732d92-6667-11e3-89ff-01f464e0362d,386718.5297,6788598.154,-1.212365535,48.12252934,"48.1225293351, -1.21236553512","48.1225293351, -1.21236553512","{""type"": ""Point"", ""coordinates"": [-1.212365535123977, 48.12252933510603]}",,,,,87471508,87471508,StopArea:OCE87471508,Gare de Vitré,,48.12241997,-1.21196568,,,1,,87471508,http://www.wikidata.org/entity/Q2330319,Point(-1.211654 48.122521
87684621,La Chapelle-la-Reine,O,N,747000,1,009+687,LA CHAPELLE-LA-REINE,SEINE-ET-MARNE,4623,d9b2972a-6667-11e3-89ff-01f464e0362d,667938.5165,6802503.829,2.567472797,48.32206453,"48.3220645289, 2.56747279727","48.3220645289, 2.56747279727","{""type"": ""Point"", ""coordinates"": [2.56747279727215, 48.32206452891276]}",http://www.wikidata.org/entity/Q243363,La Chapelle-la-Reine,Point(2.571666666 48.318333333,LA CHAPELLE-LA-REINE,87684621,87684621,,,,,,,,,,,,
87192468,Pagny-sur-Moselle,O,O,90000,1,371+872,PAGNY-SUR-MOSELLE,MEURTHE-ET-MOSELLE,5903,29644b90-dfbc-11e3-a2ff-01a464e0362d,921390.3903,6880371.943,6.02549773,48.98510341,"48.9851034098, 6.02549773","48.9851034098, 6.02549773","{""type"": ""Point"", ""coordinates"": [6.025497729995879, 48.98510340979359]}",http://www.wikidata.org/entity/Q597800,Pagny-sur-Moselle,Point(6.021388888 48.983333333,PAGNY-SUR-MOSELLE,87192468,87192468,StopArea:OCE87192468,Gare de Pagny-sur-Moselle,,48.98534461,6.02517368,,,1,,87192468,http://www.wikidata.org/entity/Q1865759,Point(6.025516 48.985458
